Land,Jury,Televote
Albanië,126,58
Australië,90,9
Bulgarije,100,66
Cyprus,183,253
Denemarken,38,188
Duitsland,204,136
Estland,143,102
Finland,23,23
Frankrijk,114,59
Hongarije,28,65
Ierland,74,62
Israël,212,317
Italië,59,249
Litouwen,90,91
Moldavië,94,115
Nederland,89,32
Noorwegen,60,84
Oekraïne,11,119
Oostenrijk,271,71
Portugal,21,18
Servië,38,75
Slovenië,41,23
Spanje,43,18
Tsjechië,66,215
Verenigd Koninkrijk,23,25
Zweden,253,21
