Land,Jury,Televote
Albanië,90,47
Australië,153,131
Azerbeidzjan,202,100
Cyprus,77,32
Denemarken,69,51
Duitsland,24,0
Estland,28,48
Frankrijk,67,38
Griekenland,50,24
IJsland,46,186
Israël,0,35
Italië,219,253
Malta,87,20
Nederland,237,261
Noord-Macedonië,247,58
Noorwegen,40,291
Rusland,126,244
San Marino,12,65
Servië,35,54
Slovenië,46,59
Spanje,1,53
Tsjechië,157,7
Verenigd Koninkrijk,8,3
Wit-Rusland,18,13
Zweden,241,93
Zwitserland,152,212
